id,name,debut_manga,debut_anime,debut_novel,debut_movie,debut_game,debut_ova,sex,blood_type,clan
344,Might Guy,Naruto Chapter #38,Naruto Episode #21,Kakashi Hiden: Lightning in the Icy Sky,Naruto Shippūden the Movie,Naruto: Konoha Ninpōchō,Finally a clash! Jōnin vs. Genin!! Indiscriminate Grand Melee Tournament Meeting!!,Male,B,N/A
1037,Konohamaru Sarutobi,Naruto Chapter #2,Naruto Episode #2,The Last: Naruto the Movie,Naruto the Movie: Blood Prison,Naruto: Konoha Ninpōchō,Find the Four-Leaf Red Clover!,Male,B,Sarutobi
813,Mitsuki,Naruto Chapter #700+1,Boruto Episode #4,Boruto: Naruto the Movie,Boruto: Naruto the Movie,Naruto Shippūden: Ultimate Ninja Storm 4,Boruto OVA,Male,N/A,N/A
865,Minato Namikaze,Naruto Chapter #239,Naruto Episode #1,"Naruto: Innocent Heart, Demonic Blood",Naruto Shippūden the Movie: The Lost Tower,Naruto: Konoha Ninpōchō,Hidden Leaf Village Grand Sports Festival!,Male,B,N/A
1339,Boruto Uzumaki,Naruto Chapter #700,Boruto Episode #1,The Last: Naruto the Movie,The Last: Naruto the Movie,Naruto Shippūden: Ultimate Ninja Storm 4,The Day Naruto Became Hokage (OVA),Male,N/A,"['Uzumaki', 'Hyūga Clan']"
1293,Itachi Uchiha,Naruto Chapter #139,Naruto Episode #80,Akatsuki Hiden: Evil Flowers in Full Bloom,Road to Ninja: Naruto the Movie,Naruto: Ultimate Ninja 2,Hidden Leaf Village Grand Sports Festival!,Male,AB,Uchiha
1063,Hashirama Senju,Naruto Chapter #118,Naruto Episode #69,The Last: Naruto the Movie,The Last: Naruto the Movie,Naruto: Ultimate Ninja,Naruto Shippūden: UNSG anime cutscenes,Male,B,Senju
1280,Tsunade,Naruto Chapter #139,Naruto Episode #83,Kakashi Hiden: Lightning in the Icy Sky,Naruto Shippūden the Movie,Naruto: Ultimate Ninja 2,Finally a clash! Jōnin vs. Genin!! Indiscriminate Grand Melee Tournament Meeting!!,Female,B,Senju
739,Rock Lee,Naruto Chapter #36,Naruto Episode #21,Kakashi Hiden: Lightning in the Icy Sky,Naruto the Movie: Guardians of the Crescent Moon Kingdom,Naruto: Konoha Ninpōchō,Hidden Leaf Village Grand Sports Festival!,Male,A,Lee   (Novel only)
600,Koji Kashin,Boruto Chapter #15,Boruto Episode #53,N/A,N/A,Naruto x Boruto: Ninja Voltage,N/A,Male,N/A,N/A
935,Hagoromo Ōtsutsuki,Naruto Chapter #572,Naruto Shippūden Episode #329,N/A,The Last: Naruto the Movie,Naruto Shippūden: Ultimate Ninja Storm 4,N/A,Male,N/A,Ōtsutsuki
1306,Sarada Uchiha,Naruto Chapter #700,Boruto Episode #1,Boruto: Naruto the Movie,Boruto: Naruto the Movie,Naruto Shippūden: Ultimate Ninja Storm 4,The Day Naruto Became Hokage (OVA),Female,N/A,Uchiha
374,Sakura Haruno,Naruto Chapter #3,Naruto Episode #1,"Naruto: Innocent Heart, Demonic Blood",Naruto the Movie: Ninja Clash in the Land of Snow,Naruto: Konoha Ninpōchō,Find the Four-Leaf Red Clover!,Female,O,Uchiha
1036,Hiruzen Sarutobi,Naruto Chapter #1,Naruto Episode #1,"Naruto: Innocent Heart, Demonic Blood",Naruto Shippūden the Movie: The Will of Fire,Naruto: Konoha Ninpōchō,Hidden Leaf Village Grand Sports Festival!,Male,A,Sarutobi
636,Killer B,Naruto Chapter #408,Naruto Shippūden Episode #142,The Last: Naruto the Movie,Naruto the Movie: Blood Prison,Naruto Shippūden: Ultimate Ninja Storm 2,Naruto Shippūden: UNSG anime cutscenes,Male,B,N/A
222,Fudō,N/A,Naruto Shippūden Episode #54,N/A,N/A,N/A,N/A,Male,N/A,N/A
1066,Tobirama Senju,Naruto Chapter #118,Naruto Episode #69,Sasuke Shinden: Book of Sunrise  (Mentioned),The Last: Naruto the Movie,Naruto: Ultimate Ninja,Naruto Shippūden: UNSG anime cutscenes,Male,A,Senju
1100,Shinki,Boruto Chapter #3,Boruto Episode #55,Boruto: Naruto the Movie,Boruto: Naruto the Movie,N/A,N/A,Male,N/A,Kazekage   (Novel only)
13,Shino Aburame,Naruto Chapter #34,Naruto Episode #1,Kakashi Hiden: Lightning in the Icy Sky,Naruto Shippūden the Movie: Bonds,Naruto: Konoha Ninpōchō,Hidden Leaf Village Grand Sports Festival!,Male,AB,Aburame
1216,Tenten,Naruto Chapter #36,Naruto Episode #21,Kakashi Hiden: Lightning in the Icy Sky,Naruto Shippūden the Movie,Naruto: Konoha Ninpōchō,Hidden Leaf Village Grand Sports Festival!,Female,B,N/A
945,Urashiki Ōtsutsuki,N/A,Boruto Episode #53,N/A,N/A,N/A,N/A,Male,N/A,Ōtsutsuki
1093,Danzō Shimura,Naruto Chapter #281,Naruto Shippūden Episode #32,Itachi Shinden: Book of Bright Light,N/A,Naruto Shippūden: Kizuna Drive,Naruto Shippūden: UNSG anime cutscenes,Male,AB,Shimura
1335,Utakata,Naruto Chapter #515,Naruto Shippūden Episode #144,N/A,N/A,Naruto Shippūden: Ultimate Ninja Storm 3,N/A,Male,B,N/A
40,Chōji Akimichi,Naruto Chapter #34,Naruto Episode #1,Kakashi Hiden: Lightning in the Icy Sky,Naruto Shippūden the Movie,Naruto: Konoha Ninpōchō,Hidden Leaf Village Grand Sports Festival!,Male,B,Akimichi
437,Hinata Hyūga,Naruto Chapter #34,Naruto Episode #1,"Naruto: Innocent Heart, Demonic Blood",Naruto Shippūden the Movie,Naruto: Konoha Ninpōchō,Hidden Leaf Village Grand Sports Festival!,Female,A,"['Hyūga', 'Uzumaki Clan']"
1365,Ino Yamanaka,Naruto Chapter #34,Naruto Episode #1,Kakashi Hiden: Lightning in the Icy Sky,Naruto Shippūden the Movie,Naruto: Konoha Ninpōchō,Hidden Leaf Village Grand Sports Festival!,Female,B,Yamanaka
193,Deidara,Naruto Chapter #247,Naruto Shippūden Episode #2,Akatsuki Hiden: Evil Flowers in Full Bloom,Road to Ninja: Naruto the Movie,Naruto Shippūden: Gekitō Ninja Taisen! EX,Naruto Shippūden: UNSG anime cutscenes,Male,AB,N/A
421,Kisame Hoshigaki,Naruto Chapter #139,Naruto Episode #80,Akatsuki Hiden: Evil Flowers in Full Bloom,Road to Ninja: Naruto the Movie,Naruto: Ultimate Ninja 2,Hidden Leaf Village Grand Sports Festival!,Male,AB,Hoshigaki   (Anime only)
148,Chiyo,Naruto Chapter #252,Naruto Shippūden Episode #9,N/A,N/A,Naruto Shippūden: Ultimate Ninja 4,Naruto Shippūden: UNSG anime cutscenes,Female,B,N/A
6,A (Fourth Raikage),Naruto Chapter #416,Naruto Shippūden Episode #152,Kakashi Hiden: Lightning in the Icy Sky,Naruto the Movie: Blood Prison,Naruto Shippūden: Gekitō Ninja Taisen! Special,Naruto Shippūden: UNSG anime cutscenes,Male,A,N/A
466,Kiba Inuzuka,Naruto Chapter #34,Naruto Episode #1,Kakashi Hiden: Lightning in the Icy Sky,Naruto Shippūden the Movie,Naruto: Konoha Ninpōchō,Hidden Leaf Village Grand Sports Festival!,Male,B,Inuzuka
1208,Temari,Naruto Chapter #34,Naruto Episode #20,Shikamaru Hiden: A Cloud Drifting in Silent Darkness,Naruto Shippūden the Movie,Naruto: Ninja Council,Hidden Leaf Village Grand Sports Festival!,Female,O,"['Nara', 'Kazekage Clan  (Novel only)']"
940,Kaguya Ōtsutsuki,Naruto Chapter #679,Naruto Shippūden Episode #458,Sasuke Shinden: Book of Sunrise  (Mentioned),The Last: Naruto the Movie,Naruto Shippūden: Ultimate Ninja Storm 4,N/A,Female,N/A,Ōtsutsuki
1400,Iwabee Yuino,N/A,Boruto Episode #1,The New Leaves Soaring Through the Blue Sky!,N/A,Naruto x Boruto: Ninja Voltage,N/A,Male,N/A,N/A
878,Shikamaru Nara,Naruto Chapter #34,Naruto Episode #1,Kakashi Hiden: Lightning in the Icy Sky,Naruto the Movie: Legend of the Stone of Gelel,Naruto: Konoha Ninpōchō,Hidden Leaf Village Grand Sports Festival!,Male,AB,Nara
104,Azure Fang,N/A,N/A,N/A,N/A,Naruto: Ultimate Ninja Online,N/A,Female,A,N/A
1042,Sasori,Naruto Chapter #247,Naruto Shippūden Episode #2,Akatsuki Hiden: Evil Flowers in Full Bloom,Road to Ninja: Naruto the Movie,Naruto Shippūden: Gekitō Ninja Taisen! EX,Naruto Shippūden: UNSG anime cutscenes,Male,AB,N/A
29,Akamaru,Naruto Chapter #39,Naruto Episode #23,Kakashi Hiden: Lightning in the Icy Sky,Naruto Shippūden the Movie: The Will of Fire,Naruto: Konoha Ninpōchō,Hidden Leaf Village Grand Sports Festival!,Male,N/A,Inuzuka
521,Jūgo,Naruto Chapter #348,Naruto Shippūden Episode #116,Naruto Jinraiden: The Day the Wolf Howled,N/A,Naruto Shippūden: Dragon Blade Chronicles,Naruto Shippūden: UNSG anime cutscenes,Male,AB,Jūgo's
480,Isobu,Naruto Chapter #317,Naruto Shippūden Episode #92,The Last: Naruto the Movie,The Last: Naruto the Movie,Naruto Shippūden: Ninja Destiny 3,N/A,N/A,N/A,N/A
934,Asura Ōtsutsuki,Naruto Chapter #462,Naruto Shippūden Episode #203,The Last: Naruto the Movie,The Last: Naruto the Movie,Naruto Shippūden: Ultimate Ninja Impact,N/A,Male,N/A,Ōtsutsuki
944,Toneri Ōtsutsuki,N/A,Boruto Episode #8,The Last: Naruto the Movie,The Last: Naruto the Movie,Naruto: Shinobi Collection,N/A,Male,N/A,Ōtsutsuki
1051,Scarlet Blaze,N/A,N/A,N/A,N/A,Naruto: Ultimate Ninja Online,N/A,Male,AB,N/A
1203,Tayuya,Naruto Chapter #115,Naruto Episode #68,N/A,N/A,Naruto: Ultimate Ninja 2,Finally a clash! Jōnin vs. Genin!! Indiscriminate Grand Melee Tournament Meeting!!,Female,A,N/A
1368,Inojin Yamanaka,Naruto Chapter #700,Boruto Episode #1,Boruto: Naruto the Movie,Boruto: Naruto the Movie,Naruto Shippūden: Ultimate Ninja Storm 4,The Day Naruto Became Hokage (OVA),Male,N/A,Yamanaka
577,Kankurō,Naruto Chapter #34,Naruto Episode #20,Gaara Hiden: A Sandstorm Mirage,Naruto the Movie: Legend of the Stone of Gelel,Naruto: Ninja Council,Hidden Leaf Village Grand Sports Festival!,Male,B,Kazekage   (Novel only)
1008,Sai,Naruto Chapter #281,Naruto Shippūden Episode #32,Kakashi Hiden: Lightning in the Icy Sky,Naruto Shippūden the Movie: Bonds,Naruto Shippūden: Gekitō Ninja Taisen! EX 2,Naruto Shippūden: UNSG anime cutscenes,Male,A,Yamanaka
162,Crimson Fist,N/A,N/A,N/A,N/A,Naruto: Ultimate Ninja Online,N/A,Male,B,N/A
870,Nangō,N/A,Naruto Shippūden Episode #144,N/A,N/A,N/A,N/A,Male,N/A,N/A
876,Shikadai Nara,Naruto Chapter #700,Boruto Episode #1,Shikamaru Hiden: A Cloud Drifting in Silent Darkness,Boruto: Naruto the Movie,Naruto Shippūden: Ultimate Ninja Storm 4,The Day Naruto Became Hokage (OVA),Male,N/A,"['Nara', 'Kazekage Clan  (Novel only)']"
1091,Shima,Naruto Chapter #375,Naruto Shippūden Episode #127,Road to Ninja: Naruto the Movie,Road to Ninja: Naruto the Movie,Naruto Shippūden: Ultimate Ninja Heroes 3,Naruto Shippūden: UNSG anime cutscenes,Female,N/A,N/A
1346,Victor,Boruto Chapter #15,Boruto Episode #157,N/A,N/A,Naruto x Boruto: Ninja Voltage,N/A,Male,N/A,N/A
430,Suigetsu Hōzuki,Naruto Chapter #346,Naruto Shippūden Episode #115,Naruto Jinraiden: The Day the Wolf Howled,N/A,Naruto Shippūden: Dragon Blade Chronicles,Naruto Shippūden: UNSG anime cutscenes,Male,B,Hōzuki
25,Akaboshi,N/A,Naruto Shippūden Episode #144,N/A,N/A,N/A,N/A,Male,N/A,N/A
120,Benten,N/A,Naruto Shippūden Episode #144,N/A,N/A,N/A,N/A,Male,N/A,N/A
158,Chūshin,N/A,Naruto Shippūden Episode #144,N/A,N/A,N/A,N/A,Male,N/A,N/A
701,Kū,N/A,Boruto Episode #78,N/A,N/A,Naruto Mobile,N/A,Male,N/A,N/A
791,Midnight Blade,N/A,N/A,N/A,N/A,Naruto: Ultimate Ninja Online,N/A,Male,AB,N/A
725,Kurotsuchi,Naruto Chapter #454,Naruto Shippūden Episode #199,Kakashi Hiden: Lightning in the Icy Sky,Boruto: Naruto the Movie,Naruto Shippūden: Ultimate Ninja Storm Generations,N/A,Female,O,Kamizuru   (Anime only)
809,Anko Mitarashi,Naruto Chapter #44,Naruto Episode #21,N/A,Naruto Shippūden the Movie,Naruto: Ninja Council,Finally a clash! Jōnin vs. Genin!! Indiscriminate Grand Melee Tournament Meeting!!,Female,A,N/A
414,Hōki (Watari),N/A,Naruto Episode #162,N/A,N/A,N/A,N/A,Male,N/A,N/A
920,Omoi,Naruto Chapter #417,Naruto Shippūden Episode #156,Shikamaru Hiden: A Cloud Drifting in Silent Darkness,Naruto the Movie: Blood Prison,Naruto: Ultimate Ninja Online,Chūnin Exam on Fire! Naruto vs. Konohamaru!,Male,AB,N/A
1,Ten-Tails,Naruto Chapter #467,Naruto Shippūden Episode #205,The Last: Naruto the Movie,The Last: Naruto the Movie,Naruto Shippūden: Ultimate Ninja Storm Revolution,The Far Reaches of Hope,N/A,N/A,N/A
230,Fukasaku,Naruto Chapter #375,Naruto Shippūden Episode #127,Road to Ninja: Naruto the Movie,Road to Ninja: Naruto the Movie,Naruto Shippūden: Ultimate Ninja Heroes 3,Naruto Shippūden: UNSG anime cutscenes,Male,N/A,N/A
240,Funamushi,N/A,Boruto Episode #240,N/A,N/A,N/A,N/A,Male,N/A,Funato
549,Hana Kaka,N/A,Boruto Episode #261,N/A,N/A,N/A,N/A,Female,N/A,N/A
609,Kawaki,Boruto Chapter #1,Boruto Episode #1,N/A,N/A,Naruto x Boruto: Ninja Voltage,N/A,Male,N/A,N/A
831,Zabuza Momochi,Naruto Chapter #10,Naruto Episode #6,"Naruto: Innocent Heart, Demonic Blood",N/A,Naruto: Konoha Ninpōchō,Hidden Leaf Village Grand Sports Festival!,Male,A,N/A
1009,Saiken,Naruto Chapter #467,Naruto Shippūden Episode #151,The Last: Naruto the Movie,The Last: Naruto the Movie,Naruto Shippūden: Ultimate Ninja Storm 3,N/A,N/A,N/A,N/A
1127,Shukaku,Naruto Chapter #134,Naruto Episode #78,The Last: Naruto the Movie,The Last: Naruto the Movie,Naruto: Ultimate Ninja,Naruto x UT,N/A,N/A,N/A
1143,Suien,N/A,N/A,Naruto: Mission: Protect The Waterfall Village! (novel),N/A,N/A,Mission: Protect the Waterfall Village!,Male,N/A,N/A
1367,Inoichi Yamanaka,Naruto Chapter #137,Naruto Episode #59,N/A,Naruto the Movie: Blood Prison,Naruto: Ultimate Ninja 2,Hidden Leaf Village Grand Sports Festival!,Male,AB,Yamanaka
190,Darui,Naruto Chapter #454,Naruto Shippūden Episode #199,Sasuke Shinden: Book of Sunrise,Boruto: Naruto the Movie,Naruto Shippūden 3D: The New Era,Naruto Shippūden: UNSG anime cutscenes,Male,O,N/A
1122,Shizune,Naruto Chapter #148,Naruto Episode #85,Kakashi Hiden: Lightning in the Icy Sky,Naruto Shippūden the Movie,Naruto: Ultimate Ninja 2,Hidden Leaf Village Grand Sports Festival!,Female,A,N/A
42,Chōza Akimichi,Naruto Chapter #137,Naruto Episode #59,Naruto Shinden: Parent and Child Day,Naruto Shippūden the Movie: The Lost Tower,Naruto: Ultimate Ninja 3,Hidden Leaf Village Grand Sports Festival!,Male,B,Akimichi
127,Breeze Dancer,N/A,N/A,N/A,N/A,Naruto: Ultimate Ninja Online,N/A,Female,O,N/A
153,Chōmei,Naruto Chapter #467,Naruto Shippūden Episode #165,The Last: Naruto the Movie,The Last: Naruto the Movie,Naruto Shippūden: Ultimate Ninja Storm 3,N/A,N/A,N/A,N/A
274,Kiseru Gankubi,N/A,Boruto Episode #276,N/A,N/A,N/A,N/A,Male,N/A,N/A
422,Shizuma Hoshigaki,N/A,Boruto Episode #25,School Trip Bloodwind Records,N/A,N/A,N/A,Male,N/A,Hoshigaki
546,Kajika,N/A,N/A,N/A,N/A,N/A,Naruto: The Cross Roads,Male,N/A,N/A
684,Konan,Naruto Chapter #363,Naruto Shippūden Episode #125,Akatsuki Hiden: Evil Flowers in Full Bloom,Road to Ninja: Naruto the Movie,Naruto Shippūden: Ultimate Ninja Heroes 3,Naruto x UT,Female,O,N/A
669,Kokuō,Naruto Chapter #467,Naruto Shippūden Episode #165,The Last: Naruto the Movie,The Last: Naruto the Movie,Naruto Shippūden: Ultimate Ninja Storm 3,N/A,N/A,N/A,N/A
723,Buntan Kurosuki,N/A,Boruto Episode #28,School Trip Bloodwind Records,N/A,N/A,N/A,Female,N/A,N/A
724,Raiga Kurosuki,Naruto Chapter #668,Naruto Episode #152,School Trip Bloodwind Records  (mentioned),N/A,N/A,N/A,Male,N/A,N/A
765,Kosuke Maruboshi,N/A,Naruto Shippūden Episode #190,N/A,Naruto the Movie: Blood Prison,Naruto Mobile,N/A,Male,N/A,N/A
936,Hamura Ōtsutsuki,Naruto Chapter #670,Naruto Shippūden Episode #420,The Last: Naruto the Movie,The Last: Naruto the Movie,Naruto Shippūden: Ultimate Ninja Storm 4  (Mentioned),N/A,Male,N/A,Ōtsutsuki
1034,Asuma Sarutobi,Naruto Chapter #34,Naruto Episode #3,Konoha Shinden: Steam Ninja Scrolls  (Mentioned),Naruto Shippūden the Movie: The Will of Fire,Naruto: Konoha Ninpōchō,Hidden Leaf Village Grand Sports Festival!,Male,O,Sarutobi
1104,Shion,N/A,N/A,Naruto Shippūden the Movie,Naruto Shippūden the Movie,N/A,N/A,Female,N/A,N/A
1165,Suzumebachi,N/A,Naruto Episode #148,N/A,N/A,N/A,N/A,Female,N/A,Kamizuru
152,Chōjūrō,Naruto Chapter #454,Naruto Shippūden Episode #199,Shikamaru Hiden: A Cloud Drifting in Silent Darkness,The Last: Naruto the Movie,Naruto Shippūden 3D: The New Era,N/A,Male,B,N/A
266,Gamakichi,Naruto Chapter #131,Naruto Episode #77,N/A,N/A,Naruto: Ultimate Ninja,Hidden Leaf Village Grand Sports Festival!,Male,N/A,N/A
593,Karin,Naruto Chapter #347,Naruto Shippūden Episode #115,Naruto Jinraiden: The Day the Wolf Howled,N/A,Naruto Shippūden: Dragon Blade Chronicles,Naruto Shippūden: UNSG anime cutscenes,Female,AB,Uzumaki
531,Kagerō,N/A,Naruto Episode #137,N/A,N/A,N/A,N/A,Female,N/A,Fūma  (Land of Sound)
591,Yagura Karatachi,Naruto Chapter #458,Naruto Shippūden Episode #200,Sasuke Shinden: Book of Sunrise  (Mentioned),N/A,Naruto Shippūden: Ultimate Ninja Impact,N/A,Male,AB,Karatachi Family  (Anime only)
622,Kazuma,N/A,Naruto Shippūden Episode #61,N/A,N/A,N/A,N/A,Male,N/A,N/A
720,Hako Kuroi,N/A,Boruto Episode #1,The New Leaves Soaring Through the Blue Sky!,N/A,Naruto: Ultimate Ninja Online,N/A,Female,N/A,N/A
794,Mifune,Naruto Chapter #456,Naruto Shippūden Episode #199,Shikamaru Shinden: A Cloud Dancing in Forlorn Falling Petals,N/A,Naruto Shippūden: Ultimate Ninja Impact,N/A,Male,O,N/A
818,Mizuki,Naruto Chapter #1,Naruto Episode #1,"Naruto: Innocent Heart, Demonic Blood",N/A,Naruto: Konoha Ninpōchō,N/A,Male,AB,N/A
860,Nagare,N/A,Naruto Episode #164,N/A,N/A,N/A,N/A,Male,N/A,N/A
851,Mukade (movie),N/A,N/A,Naruto Shippūden the Movie: The Lost Tower,Naruto Shippūden the Movie: The Lost Tower,N/A,N/A,Male,N/A,N/A
1038,Mirai Sarutobi,Naruto Chapter #533,Naruto Shippūden Episode #274,Shikamaru Hiden: A Cloud Drifting in Silent Darkness,The Last: Naruto the Movie,Naruto Shippūden: Ultimate Ninja Storm 3,N/A,Female,N/A,Sarutobi
1109,Shiranami,N/A,Naruto Shippūden Episode #145,N/A,N/A,N/A,N/A,Male,N/A,Tsuchigumo
1134,Son Gokū,Naruto Chapter #467,Naruto Shippūden Episode #165,The Last: Naruto the Movie,The Last: Naruto the Movie,Naruto Shippūden: Ultimate Ninja Storm 3,N/A,N/A,N/A,N/A
1120,Shizuku,N/A,N/A,Naruto Shippūden the Movie,Naruto Shippūden the Movie,N/A,N/A,Female,N/A,N/A
1123,Shojoji,Boruto Chapter #11,Boruto Episode #147,Shikamaru Shinden: A Cloud Dancing in Forlorn Falling Petals  (Mentioned),N/A,N/A,N/A,Male,N/A,N/A
1310,Shisui Uchiha,Naruto Chapter #459,Naruto Shippūden Episode #201,Itachi Shinden: Book of Bright Light,N/A,Naruto Shippūden: Ultimate Ninja Storm Revolution,Ninja Escapades,Male,A,Uchiha
1426,White Zetsu,Naruto Chapter #234,Naruto Episode #134,Naruto Jinraiden: The Day the Wolf Howled,Road to Ninja: Naruto the Movie,Naruto Shippūden: Ultimate Ninja 4,Naruto Shippūden: UNSG anime cutscenes,Male,B,N/A
1279,Kido Tsumiki,N/A,N/A,N/A,N/A,N/A,N/A,Male,N/A,N/A
5,A (Third Raikage),Naruto Chapter #494,Naruto Shippūden Episode #244,N/A,N/A,Naruto Shippūden: Ultimate Ninja Storm 3,N/A,Male,O,N/A
15,Torune Aburame,Naruto Chapter #454,Naruto Shippūden Episode #198,N/A,N/A,Naruto Shippūden: Ultimate Ninja Storm Generations,N/A,Male,O,Aburame
72,Boar-Masked Anbu Member,N/A,N/A,N/A,N/A,N/A,N/A,Male,N/A,N/A
124,Blue B,Naruto Chapter #494,Naruto Shippūden Episode #244,N/A,N/A,Naruto Mobile,N/A,Male,N/A,N/A
161,Condor,N/A,Naruto Shippūden Episode #181,N/A,N/A,Naruto Mobile,N/A,Male,N/A,N/A
192,Deepa,N/A,Boruto Episode #157,N/A,N/A,N/A,N/A,Male,N/A,N/A
224,Fuen,N/A,Naruto Shippūden Episode #54,N/A,N/A,N/A,N/A,Female,N/A,N/A
261,Gamabunta,Naruto Chapter #1,Naruto Episode #1,"Naruto: Innocent Heart, Demonic Blood",Naruto Shippūden the Movie: Bonds,Naruto: Konoha Ninpōchō,Finally a clash! Jōnin vs. Genin!! Indiscriminate Grand Melee Tournament Meeting!!,Male,N/A,N/A
271,Gamatatsu,Naruto Chapter #166,Naruto Episode #94,N/A,N/A,Naruto: Ultimate Ninja 2,Hidden Leaf Village Grand Sports Festival!,Male,N/A,N/A
327,Gitai,N/A,N/A,Naruto Shippūden the Movie,Naruto Shippūden the Movie,N/A,N/A,Male,N/A,N/A
363,Han,Naruto Chapter #515,Naruto Shippūden Episode #205,N/A,N/A,Naruto Shippūden: Ultimate Ninja Storm 3,N/A,Male,B,N/A
356,Haku,Naruto Chapter #15,Naruto Episode #9,"Naruto: Innocent Heart, Demonic Blood",N/A,Naruto: Konoha Ninpōchō,Hidden Leaf Village Grand Sports Festival!,Male,O,Yuki
574,Kandachi,N/A,Naruto Shippūden Episode #187,N/A,N/A,N/A,N/A,Male,N/A,N/A
568,Denki Kaminarimon,N/A,Boruto Episode #1,The New Leaves Soaring Through the Blue Sky!,N/A,Naruto: Ultimate Ninja Online,N/A,Male,N/A,N/A
628,Kigiri,N/A,Naruto Shippūden Episode #91,N/A,N/A,N/A,N/A,Male,N/A,N/A
635,Kikunojō,N/A,Naruto Episode #187,N/A,N/A,N/A,N/A,Male,N/A,N/A
719,Tsubaki Kurogane,N/A,Boruto Episode #137,N/A,N/A,Naruto x Boruto: Ninja Voltage,N/A,Female,N/A,N/A
718,Kurobane,N/A,Boruto Episode #229,N/A,N/A,N/A,N/A,Male,N/A,N/A
844,Mū,Naruto Chapter #515,Naruto Shippūden Episode #256,N/A,N/A,Naruto Shippūden: Ultimate Ninja Storm 3,N/A,Male,O,N/A
845,Mubi,Naruto Chapter #61,Naruto Episode #36,N/A,N/A,Naruto: Clash of Ninja 2,Hidden Leaf Village Grand Sports Festival!,Male,AB,N/A
847,Mui,N/A,N/A,Kakashi Hiden: Lightning in the Icy Sky  (Mentioned),Naruto the Movie: Blood Prison,N/A,N/A,Male,N/A,N/A
854,Murasame,N/A,N/A,Naruto: Mission: Protect The Waterfall Village! (novel),N/A,N/A,Mission: Protect the Waterfall Village!,Male,N/A,N/A
939,Isshiki Ōtsutsuki,Boruto Chapter #35,Boruto Episode #202,N/A,N/A,Naruto x Boruto: Ninja Voltage,N/A,Male,N/A,Ōtsutsuki
975,Ameyuri Ringo,Naruto Chapter #522,Naruto Shippūden Episode #265,N/A,N/A,Naruto Shippūden: Ultimate Ninja Storm 3,N/A,Female,AB,N/A
1055,Sekiei (spectator),N/A,Naruto Shippūden Episode #192,N/A,N/A,N/A,N/A,Male,N/A,N/A
1082,Shibuki,N/A,Naruto Episode #198,Naruto: Mission: Protect The Waterfall Village! (novel),N/A,N/A,Mission: Protect the Waterfall Village!,Male,N/A,N/A
1135,Sora,N/A,Naruto Shippūden Episode #54,N/A,N/A,N/A,N/A,Male,N/A,N/A
