id,character_id,jutsu_1,jutsu_2,jutsu_3,jutsu_4,jutsu_5,jutsu_6,jutsu_7,jutsu_8,jutsu_9,jutsu_10,jutsu_11,jutsu_12,jutsu_13,jutsu_14,jutsu_15,jutsu_16,jutsu_17,jutsu_18,jutsu_19,jutsu_20,jutsu_21,jutsu_22,jutsu_23,jutsu_24,jutsu_25,jutsu_26,jutsu_27,jutsu_28,jutsu_29,jutsu_30,jutsu_31,jutsu_32,jutsu_33,jutsu_34,jutsu_35,jutsu_36,jutsu_37,jutsu_38,jutsu_39,jutsu_40,jutsu_41,jutsu_42,jutsu_43,jutsu_44,jutsu_45,jutsu_46,jutsu_47,jutsu_48,jutsu_49,jutsu_50,jutsu_51,jutsu_52,jutsu_53,jutsu_54,jutsu_55,jutsu_56,jutsu_57,jutsu_58,jutsu_59,jutsu_60,jutsu_61,jutsu_62,jutsu_63,jutsu_64,jutsu_65,jutsu_66,jutsu_67,jutsu_68,jutsu_69,jutsu_70,jutsu_71,jutsu_72,jutsu_73,jutsu_74,jutsu_75,jutsu_76,jutsu_77,jutsu_78,jutsu_79,jutsu_80,jutsu_81,jutsu_82,jutsu_83,jutsu_84,jutsu_85,jutsu_86,jutsu_87,jutsu_88,jutsu_89,jutsu_90,jutsu_91,jutsu_92,jutsu_93,jutsu_94
11,344,Daytime Tiger,Double Dynamic Entry,Dynamic Action (Anime only),Dynamic Entry,Eight Gates,Eight Gates Released Formation,Evening Elephant,Front Lotus,Intersection Method (Anime only),Leaf Coiling Whirlwind,Leaf Coiling Wind (Anime only),Leaf Drop (Novel only),Leaf Gale,Leaf Great Flash (Anime only),Leaf Great Whirlwind (Anime only),Leaf Gust (Anime only),Leaf Rock-Destroying Rise,Leaf Strong Whirlwind,Leaf Whirlwind,Little Toe Attack,Morning Peacock,Night Guy,Reverse Lotus,Seasickness Fist (Novel only),Shadow of the Dancing Leaf,Strong Fist,Summoning Technique (Tortoise),Violent — Leaf Adamantine-Strength Whirlwind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1037,Adamantine Seal: Monkey Yang Suppression (Anime only),Barrier Releasing Technique (Anime only),Big Ball Rasengan (Anime only),Booby Trap (Anime only),Bouncy Bouncy Technique (Anime only),Fire Release: Ash Pile Burning (Anime only),Fire Release: Blazing Meteors,Fire Release: Fire Dragon Bullet (Anime only),Fire Release: Fire Dragon Flame Bullet,Fire Release: Great Flame Technique,Flying Swallow (Anime only),Harem Technique (Anime only),Multiple Shadow Clone Technique (Anime only),Multiple String Light Formation (Anime only),Rasengan,Sealing Technique: Release,Sealing Technique: Three Directions Seal (Anime only),Sexy Technique,Sexy Technique: Pole Dance and Nice Body (Anime only),Sexy: Boy on Boy Technique (Manga only),Sexy: Girl on Girl Technique,Shadow Clone Technique,Shuriken Shadow Clone Technique (Anime only),String Light Formation (Anime only),Student and Teacher: Rasengan,"Summoning Technique (Monkey, Toad) (Anime only)",Wind Release: Rasengan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,813,Binding Snake Glare Spell,Boruto Stream,Chakra Transfer Technique (Anime only),Claw Creation Technique (Anime only),Hidden Shadow Snake Burial (Anime only),Hidden Shadow Snake Hands,Hidden Shadow Wild Snake Hands,Lightning Release: Purple Electricity (Manga only),Lightning Release: Snake Lightning,Lightning Strike (Anime only),Lorentz Gun (Novel only),Many Hidden Shadow Snake Hands (Anime only),Multiple String Light Formation (Anime only),Sage Art: Great Snake Lightning (Anime only),Sage Mode,Sage Transformation,Sensing Technique (Anime only),Shadow Clone Technique (Anime only),Sickle Weasel Technique (Anime only),Snake Clone Technique,Snake Spying Technique (Anime only),Soft Physique Modification,String Light Formation (Anime only),Summoning Technique (Snake),Super Compression Rasengan (Anime only),Wind Release: Breakthrough,Wind Release: Gale Palm (Anime only),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,865,Area Scanning Technique,Chakra Transfer Technique,Contract Seal,Dead Demon Consuming Seal,Eight Trigrams Sealing Style,Flying Thunder Formation Technique,Flying Thunder God Mutually Instantaneous Revolving Technique,Flying Thunder God Slash,Flying Thunder God Technique,Flying Thunder God — Second Step,Flying Thunder God: Guiding Thunder,Four Red Yang Formation,Four Symbols Seal,Memory Erasing Seal,Nine-Tails Chakra Mode,Parent and Child Rasengan,Rasengan,Sage Mode,Sensing Technique,Shadow Clone Technique,Spiralling Flash Super Round Dance Howl Style Three,"Summoning Technique (Shinigami, Toad)",Summoning: Food Cart Destroyer Technique,Supreme Ultimate Rasengan,Tailed Beast Ball,Tailed Beast Chakra Arms,Tailed Beast Transfer Technique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1339,Boruto Stream,Compression Rasengan (Anime only),Gentle Fist,Harem Technique,Improvised Secret Technique: Lightning Ball Shuriken Technique (Anime only),Kāma,Kāma Rift,Lightning Release Bullet: Powerful Breath (Anime only),Lightning Release: Purple Electricity (Manga only),Lightning Release: Thunderclap Arrow,Multiple String Light Formation (Anime only),Parent and Child Rasengan,Rasengan,"Rasengan: ""Unison""",Sexy Technique,Shadow Clone Technique,String Light Formation (Anime only),Student and Teacher: Rasengan,Summoning Technique (Snake) (Anime only),Super Compression Rasengan (Anime only),Surging Fire Wild Dance (Anime only),"Uchiha Style Shurikenjutsu: ""Lightning"": Triple",Vanishing Rasengan,Water Release: Surging Sea,Water Release: Water Formation Wall (Novel only),Wind Release: Gale Palm,Wind Release: Rasengan (Anime only),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1293,Amaterasu,Chakra Suppression Technique (Novel only),Clone Great Explosion,Crow Clone Technique,Demonic Illusion: Mirage Crow,Demonic Illusion: Mirror Heaven and Earth Change,Demonic Illusion: Shackling Stakes Technique,Early Sacrifice,Ephemeral,Fire Release: Great Fireball Technique,Fire Release: Phoenix Sage Fire Technique,Fire Release: Phoenix Sage Flower Nail Crimson,Genjutsu: Sharingan,Izanami,Sensing Barrier Pass Technique,Shadow Clone Technique,Summoning Technique (Crow),Susanoo,Susanoo: Fist,Transcription Seal: Amaterasu,Tsukuyomi,Water Release: Starch Syrup Capturing Field (Novel only),Water Release: Water Bullet Technique,Water Release: Water Dragon Bullet Technique,Water Release: Water Fang Bullet,Yasaka Magatama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,1063,Bringer-of-Darkness Technique (Manga only),Chakra Transfer Technique,Contract Seal (Anime only),Four Red Yang Formation,Hokage-Style Sixty-Year-Old Technique — Kakuan Entering Society with Bliss-Bringing Hands,Regeneration Ability,Sage Art Wood Release: True Several Thousand Hands,Sage Art: Gate of the Great God,Sage Mode,Summoning Technique,Summoning: Quintuple Rashōmon,Summoning: Rashōmon,Top Transformed Buddha,Wood Clone Technique,Wood Release Secret Technique: Nativity of a World of Trees,Wood Release: Advent of a World of Flowering Trees,Wood Release: Great Forest Technique,Wood Release: Hōbi Technique,Wood Release: Hotei Technique,Wood Release: Wood Dragon Technique,Wood Release: Wood Human Technique,Wood Release: Wood Locking Wall (Anime only),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1280,Body Pathway Derangement,Cell Activation Technique (Anime only),Chakra Enhanced Strength,Chakra Scalpel,Chakra Transfer Technique,Creation Rebirth,Five Elements Unseal (Anime only),Four-Corner Sealing Barrier (Anime only),Genjutsu Binding (Anime only),Heavenly Foot of Pain,Heavenly Spear Foot,Katsuyu: Immense Network Healing,Mechanical Eight Trigrams Formation (Anime only),Mystical Palm Technique,Ninja Art Creation Rebirth — Strength of a Hundred Technique,Reverse Summoning Technique (Anime only),Shadow Clone Technique (Anime only),Strength of a Hundred Seal,Summoning Technique (Slug),Time-Release Technique,Transformation Technique,Yin Seal: Release,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,739,Crane Wing Formation,Double Dynamic Entry,Drunken Fist,Dynamic Entry (Anime only),Eight Gates,Front Lotus,Front Lotus: Eight Trigrams Palms Revolving Heaven,Leaf Coiling Whirlwind,Leaf Drop,Leaf Flash Kick,Leaf Gale,Leaf Great Whirlwind,Leaf Rising Wind,Leaf Whirlwind,Ninja Art: Bare-Handed Blade Block (Anime only),One-Man Front Lotus (Anime only),Reverse Lotus,Seasickness Fist (Anime only),Shadow of the Dancing Leaf,Strong Fist,Youth Full Power (Anime only),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,600,Big Ball Rasengan,Earth Release: Swamp of the Underworld,Fire Release: Big Flame Bullet,Fire Release: Flame Attack,Fire Release: Flame Bullet,Genjutsu Communication,Needle Jizō,Rasengan,Reverse Summoning Technique,Sage Art: Five Fire Gods' Fan of Flames,Sage Mode,Sealing Technique: Frog Suppression,Shadow Clone Technique,Summoning Technique (Toad),Summoning: Food Cart Destroyer Technique,Toad Oil Bullet,Toad Smoke Technique (Anime only),Toad Spying Technique,True Fire of Samadhi,Ultra-Big Ball Rasengan,Wild Lion's Mane Technique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,935,Animal Path,Asura Path,Chakra Transfer Technique,Chibaku Tensei,Creation of All Things Technique,Deva Path,Drilling Hand of Sage Lightning (Anime only),Human Path,Mystical Palm Technique (Anime only),Naraka Path,Outer Path,Preta Path,Sensing Technique,Six Paths Senjutsu,Six Paths Technique,Six Paths Yang Power,Six Paths Yin Power,Six Paths — Chibaku Tensei,Summoning Technique,Susanoo (Anime only),Truth-Seeking Ball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1306,Boruto Stream,Chakra Enhanced Strength,Chakra Transfer Technique (Anime only),Cherry Blossom Impact,Chidori,Fire Release: Great Fireball Technique,Fire Release: Phoenix Sage Fire Technique,Genjutsu: Sharingan,Improvised Secret Technique: Lightning Ball Shuriken Technique (Anime only),Lightning Ball,Lightning Burial: Banquet of Lightning (Anime only),Lightning Flash,Lightning Strike Armour (Anime only),Lorentz Gun (Novel only),Multiple String Light Formation (Anime only),Mystical Palm Technique (Anime only),Shadow Clone Technique (Anime only),String Light Formation (Anime only),Super Compression Rasengan (Anime only),Wind Release: Gale Palm (Anime only),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
