id,character_id,team_1,team_2,team_3,team_4,team_5,team_6,team_7,team_8,team_9,team_10,team_11
150,55,N/A,,,,,,,,,,
151,125,N/A,,,,,,,,,,
152,119,N/A,,,,,,,,,,
153,143,N/A,,,,,,,,,,
154,159,N/A,,,,,,,,,,
155,199,Fourth Division,Communications Team,,,,,,,,,
156,293,N/A,,,,,,,,,,
157,328,Team 40  (Anime only),,,,,,,,,,
158,339,Team Guren,,,,,,,,,,
159,368,N/A,,,,,,,,,,
160,404,N/A,,,,,,,,,,
161,413,N/A,,,,,,,,,,
162,450,Hiruko's Team,,,,,,,,,,
163,553,N/A,,,,,,,,,,
164,598,Dark Thunder Group  (Novel only),Lightning Group,,,,,,,,,
165,608,N/A,,,,,,,,,,
166,649,Team Suien,,,,,,,,,,
167,668,Team 25,,,,,,,,,,
168,704,Four Celestial Symbols Men,,,,,,,,,,
169,757,N/A,,,,,,,,,,
170,912,N/A,,,,,,,,,,
171,909,Team Guren,,,,,,,,,,
172,938,N/A,,,,,,,,,,
173,967,N/A,,,,,,,,,,
174,986,Byakuya Gang,,,,,,,,,,
175,1003,N/A,,,,,,,,,,
176,1048,Team Saya,,,,,,,,,,
177,1074,Gang of Four,,,,,,,,,,
178,1115,Team Ameno,,,,,,,,,,
179,1166,Team 15,,,,,,,,,,
180,1179,Team 25,,,,,,,,,,
181,1197,N/A,,,,,,,,,,
182,1274,N/A,,,,,,,,,,
183,1342,N/A,,,,,,,,,,
184,1345,N/A,,,,,,,,,,
185,1364,N/A,,,,,,,,,,
186,1427,N/A,,,,,,,,,,
187,63,N/A,,,,,,,,,,
188,835,Konoha Torture and Interrogation Force,Team 40  (Anime only),,,,,,,,,
189,1325,N/A,,,,,,,,,,
190,38,N/A,,,,,,,,,,
191,46,N/A,,,,,,,,,,
192,57,N/A,,,,,,,,,,
193,58,N/A,,,,,,,,,,
194,73,N/A,,,,,,,,,,
195,77,N/A,,,,,,,,,,
196,133,Team Kazami,,,,,,,,,,
197,146,Twelve Guardian Ninja,,,,,,,,,,
198,157,Surprise Attack and Diversion Platoon,,,,,,,,,,
199,160,N/A,,,,,,,,,,
200,206,Leaf's Anbu,,,,,,,,,,
201,247,N/A,,,,,,,,,,
202,267,N/A,,,,,,,,,,
203,269,N/A,,,,,,,,,,
204,297,Enlightened Ones,,,,,,,,,,
205,302,N/A,,,,,,,,,,
206,348,Twenty Platoons,Konoha Barrier Team  (Anime only),First Division,,,,,,,,
207,389,N/A,,,,,,,,,,
208,408,Team Suien,,,,,,,,,,
209,429,Seven Ninja Swordsmen of the Mist,,,,,,,,,,
210,468,N/A,,,,,,,,,,
211,463,Scientific Ninja Weapons Team,,,,,,,,,,
212,483,Team 40,,,,,,,,,,
213,507,N/A,,,,,,,,,,
214,509,Janin,,,,,,,,,,
215,537,N/A,,,,,,,,,,
216,571,Twenty Platoons,Konoha Barrier Team  (Anime only),First Division,,,,,,,,
217,621,N/A,,,,,,,,,,
218,674,N/A,,,,,,,,,,
219,716,Seven Ninja Swordsmen of the Mist,,,,,,,,,,
220,717,N/A,,,,,,,,,,
221,754,Third Division,Sealing Team,,,,,,,,,
222,780,N/A,,,,,,,,,,
223,834,Shinobazu,,,,,,,,,,
224,846,N/A,,,,,,,,,,
225,852,N/A,,,,,,,,,,
226,857,Team Kazami,,,,,,,,,,
227,873,Third Division,,,,,,,,,,
228,923,Team 40,,,,,,,,,,
229,965,Haido's Knights,,,,,,,,,,
230,979,Dotō's Three-Man-Team,,,,,,,,,,
231,984,Janin,,,,,,,,,,
232,989,Three Ryūdōin Brothers,,,,,,,,,,
233,1022,Team Saya,,,,,,,,,,
234,1052,N/A,,,,,,,,,,
235,1054,N/A,,,,,,,,,,
236,1076,N/A,,,,,,,,,,
237,1145,Seven Ninja Swordsmen of the Mist,,,,,,,,,,
238,1147,Team Ajisai,,,,,,,,,,
239,1214,N/A,,,,,,,,,,
240,1215,N/A,,,,,,,,,,
241,1260,N/A,,,,,,,,,,
242,1276,Mujina Bandits,,,,,,,,,,
243,1382,Team Shira,,,,,,,,,,
244,1369,Konoha Barrier Team,,,,,,,,,,
245,1411,N/A,,,,,,,,,,
246,630,N/A,,,,,,,,,,
247,664,N/A,,,,,,,,,,
248,435,Team 15  (Anime only),,,,,,,,,,
249,436,First Division,,,,,,,,,,
250,444,Team Guy,Sasuke Recovery Team,Konoha 11  (Anime only),Star Guard Team  (Anime only),Second Division,,,,,,
251,1223,Daimyō Protection Squad,,,,,,,,,,
252,1336,Team Tobirama,Konoha Council,Escort Unit,,,,,,,,
253,1397,Team 8,,,,,,,,,,
254,10,Infiltration and Reconnaissance Party,,,,,,,,,,
255,48,N/A,,,,,,,,,,
256,87,N/A,,,,,,,,,,
257,90,Haze Quadruplets,,,,,,,,,,
258,106,N/A,,,,,,,,,,
259,131,N/A,,,,,,,,,,
260,113,Team Bandō,,,,,,,,,,
261,116,N/A,,,,,,,,,,
262,129,N/A,,,,,,,,,,
263,121,N/A,,,,,,,,,,
264,122,Seven Ninja Swordsmen of the Mist,,,,,,,,,,
265,138,N/A,,,,,,,,,,
266,195,N/A,,,,,,,,,,
267,198,N/A,,,,,,,,,,
268,218,N/A,,,,,,,,,,
269,244,N/A,,,,,,,,,,
270,246,N/A,,,,,,,,,,
271,257,Team Ajisai,,,,,,,,,,
272,258,Dotō's Three-Man-Team,,,,,,,,,,
273,288,N/A,,,,,,,,,,
274,335,N/A,,,,,,,,,,
275,343,N/A,,,,,,,,,,
276,345,N/A,,,,,,,,,,
277,347,N/A,,,,,,,,,,
278,351,Haido's Knights,,,,,,,,,,
279,375,N/A,,,,,,,,,,
280,381,N/A,,,,,,,,,,
281,409,N/A,,,,,,,,,,
282,418,N/A,,,,,,,,,,
283,405,Haze Quadruplets,,,,,,,,,,
284,415,Four Celestial Symbols Men,,,,,,,,,,
285,439,N/A,,,,,,,,,,
286,448,N/A,,,,,,,,,,
287,475,N/A,,,,,,,,,,
288,465,Fifth Division,,,,,,,,,,
289,485,Surprise Attack Division,,,,,,,,,,
290,488,N/A,,,,,,,,,,
291,517,Sound Four,,,,,,,,,,
292,511,N/A,,,,,,,,,,
293,512,N/A,,,,,,,,,,
294,522,N/A,,,,,,,,,,
295,555,N/A,,,,,,,,,,
296,557,Dotō's Three-Man-Team,,,,,,,,,,
297,552,N/A,,,,,,,,,,
298,558,N/A,,,,,,,,,,
299,570,Haido's Knights,,,,,,,,,,
300,578,N/A,,,,,,,,,,
301,590,New Seven Ninja Swordsmen,,,,,,,,,,
302,615,N/A,,,,,,,,,,
303,626,Sound Four,,,,,,,,,,
304,629,Team Guren,,,,,,,,,,
305,637,Sound Five,,,,,,,,,,
306,651,Twelve Guardian Ninja,,,,,,,,,,
307,652,Medic Corps,,,,,,,,,,
308,672,N/A,,,,,,,,,,
309,713,N/A,,,,,,,,,,
310,721,N/A,,,,,,,,,,
311,744,N/A,,,,,,,,,,
312,753,N/A,,,,,,,,,,
313,758,Team Saya,,,,,,,,,,
314,761,N/A,,,,,,,,,,
315,764,N/A,,,,,,,,,,
316,766,N/A,,,,,,,,,,
317,781,Shirogane Three,,,,,,,,,,
318,824,Medic Corps,,,,,,,,,,
319,829,N/A,,,,,,,,,,
320,833,Third Division,,,,,,,,,,
321,849,N/A,,,,,,,,,,
322,853,Seven Ninja Swordsmen of the Mist,,,,,,,,,,
323,861,Ame Orphans,,,,,,,,,,
324,903,Team Minato,,,,,,,,,,
325,916,Fifth Division  (Anime only),,,,,,,,,,
326,907,Lightning Group,,,,,,,,,,
327,908,N/A,,,,,,,,,,
328,949,N/A,,,,,,,,,,
329,966,Kurosuki Family,,,,,,,,,,
330,977,N/A,,,,,,,,,,
331,981,Team Oboro,,,,,,,,,,
332,976,Team Guren,,,,,,,,,,
333,997,Grass Flower Group,,,,,,,,,,
334,999,N/A,,,,,,,,,,
335,1015,Sound Four,,,,,,,,,,
336,1047,N/A,,,,,,,,,,
337,1050,N/A,,,,,,,,,,
338,1079,N/A,,,,,,,,,,
339,1158,N/A,,,,,,,,,,
340,1202,N/A,,,,,,,,,,
341,1210,Haido's Knights,,,,,,,,,,
342,1245,N/A,,,,,,,,,,
343,1255,N/A,,,,,,,,,,
344,1265,Team Dosu,,,,,,,,,,
345,1289,Konoha Military Police Force,,,,,,,,,,
346,1296,N/A,,,,,,,,,,
347,1309,Shin Uchiha (Clones),,,,,,,,,,
348,1313,Konoha Military Police Force,,,,,,,,,,
349,1330,N/A,,,,,,,,,,
350,1320,N/A,,,,,,,,,,
351,1323,N/A,,,,,,,,,,
352,1333,N/A,,,,,,,,,,
353,1341,N/A,,,,,,,,,,
354,1370,Third Division,,,,,,,,,,
355,1374,N/A,,,,,,,,,,
356,1383,Gang of Four,Ghost Army,,,,,,,,,
357,1385,N/A,,,,,,,,,,
358,1356,Ame Orphans,,,,,,,,,,
359,1389,N/A,,,,,,,,,,
360,1405,N/A,,,,,,,,,,
361,540,Ryūha Armament Alliance,,,,,,,,,,
362,660,N/A,,,,,,,,,,
363,661,N/A,,,,,,,,,,
364,688,Ishi Terrorists,,,,,,,,,,
365,711,N/A,,,,,,,,,,
366,752,N/A,,,,,,,,,,
367,958,Ryūha Armament Alliance,,,,,,,,,,
368,1084,N/A,,,,,,,,,,
369,35,N/A,,,,,,,,,,
370,99,N/A,,,,,,,,,,
371,477,Team Ebisu,Team 5  (Anime only),,,,,,,,,
372,596,Team Samui,Second Division,,,,,,,,,
373,618,Team Ebisu,Team 10,,,,,,,,,
374,774,Fourth Division  (Anime only),Team Matsuri  (Anime only),,,,,,,,,
375,925,N/A,,,,,,,,,,
376,1321,N/A,,,,,,,,,,
377,0,N/A,,,,,,,,,,
378,8,Team Dosu,,,,,,,,,,
379,9,N/A,,,,,,,,,,
380,11,N/A,,,,,,,,,,
381,14,N/A,,,,,,,,,,
382,24,Team Ajisai  (Anime only),,,,,,,,,,
383,27,Team Kabuto,,,,,,,,,,
384,28,N/A,,,,,,,,,,
385,36,Seven Ninja Swordsmen of the Mist,,,,,,,,,,
386,39,Team 10,,,,,,,,,,
387,43,N/A,,,,,,,,,,
388,44,N/A,,,,,,,,,,
389,45,N/A,,,,,,,,,,
390,47,Escort Unit,,,,,,,,,,
391,52,N/A,,,,,,,,,,
392,54,N/A,,,,,,,,,,
393,59,N/A,,,,,,,,,,
394,68,N/A,,,,,,,,,,
395,71,N/A,,,,,,,,,,
396,79,N/A,,,,,,,,,,
397,88,Team Shinki,,,,,,,,,,
398,100,First Division,,,,,,,,,,
399,107,Three Sand Siblings,Suna Council,,,,,,,,,
400,112,N/A,,,,,,,,,,
401,117,N/A,,,,,,,,,,
402,123,N/A,,,,,,,,,,
403,135,Kumo Council,Sensor Division,,,,,,,,,
404,140,N/A,,,,,,,,,,
405,145,Lightning Group  (Anime only),,,,,,,,,,
406,156,Impure World Reincarnation Allied Forces,,,,,,,,,,
407,163,N/A,,,,,,,,,,
408,165,N/A,,,,,,,,,,
409,166,N/A,,,,,,,,,,
410,170,Impure World Reincarnation Allied Forces,,,,,,,,,,
411,191,Team Goji,,,,,,,,,,
412,194,N/A,,,,,,,,,,
413,203,Analysis Team,,,,,,,,,,
414,210,N/A,,,,,,,,,,
415,212,Team Chōza,Team Ebisu,,,,,,,,,
416,217,N/A,,,,,,,,,,
417,221,Team Fū  (Anime only),,,,,,,,,,
418,225,Haido's Knights,,,,,,,,,,
419,226,N/A,,,,,,,,,,
420,242,N/A,,,,,,,,,,
421,255,N/A,,,,,,,,,,
422,256,N/A,,,,,,,,,,
423,260,N/A,,,,,,,,,,
424,265,N/A,,,,,,,,,,
425,273,Shirogane Three,,,,,,,,,,
426,281,Garakuta Gang,,,,,,,,,,
427,282,Explosion Corps,,,,,,,,,,
428,229,Furido's 4-Man Team,,,,,,,,,,
429,292,Byakuya Gang,,,,,,,,,,
430,294,N/A,,,,,,,,,,
431,308,N/A,,,,,,,,,,
432,310,N/A,,,,,,,,,,
433,312,N/A,,,,,,,,,,
434,313,N/A,,,,,,,,,,
435,329,Team Goji,,,,,,,,,,
436,331,N/A,,,,,,,,,,
437,336,N/A,,,,,,,,,,
438,338,Demon Brothers,,,,,,,,,,
439,341,Team Guren,,,,,,,,,,
440,353,Fifth Division,,,,,,,,,,
441,365,N/A,,,,,,,,,,
442,373,Allied Mothers Force,,,,,,,,,,
443,377,N/A,,,,,,,,,,
444,378,N/A,,,,,,,,,,
445,382,New Seven Ninja Swordsmen,,,,,,,,,,
446,383,Impure World Reincarnation Allied Forces,,,,,,,,,,
447,388,N/A,,,,,,,,,,
448,391,Analysis Team,,,,,,,,,,
449,397,Nokizaru Group,,,,,,,,,,
450,401,N/A,,,,,,,,,,
451,406,Hiruko's Team,,,,,,,,,,
452,417,Watari Ninja,,,,,,,,,,
453,419,N/A,,,,,,,,,,
454,428,N/A,,,,,,,,,,
455,432,N/A,,,,,,,,,,
456,449,Shirogane Three,,,,,,,,,,
457,469,N/A,,,,,,,,,,
458,470,Logistical Support and Medical Division,,,,,,,,,,
459,479,N/A,,,,,,,,,,
460,491,Team Kajika,,,,,,,,,,
461,493,Three Brothers,,,,,,,,,,
462,494,Medic Corps,,,,,,,,,,
463,499,Team 15,,,,,,,,,,
464,504,Jako's Gang,,,,,,,,,,
465,508,N/A,,,,,,,,,,
466,510,N/A,,,,,,,,,,
467,426,N/A,,,,,,,,,,
468,427,N/A,,,,,,,,,,
469,526,Team Oboro,,,,,,,,,,
470,542,N/A,,,,,,,,,,
471,550,Team 15,Scientific Ninja Weapons Team,,,,,,,,,
472,554,Konoha Barrier Team,,,,,,,,,,
473,556,N/A,,,,,,,,,,
474,587,N/A,,,,,,,,,,
475,592,Wandering Ninja Clan,,,,,,,,,,
476,624,Team Fū,,,,,,,,,,
477,605,N/A,,,,,,,,,,
478,610,Team 9,,,,,,,,,,
479,619,Team Kazami,,,,,,,,,,
480,641,Gold and Silver Brothers,Kinkaku Force,,,,,,,,,
481,644,Team Dosu,,,,,,,,,,
482,646,Surprise Attack Division,,,,,,,,,,
483,653,Second Division,,,,,,,,,,
484,655,N/A,,,,,,,,,,
485,665,Team Ameno,,,,,,,,,,
486,682,N/A,,,,,,,,,,
487,689,N/A,,,,,,,,,,
488,692,N/A,,,,,,,,,,
489,699,N/A,,,,,,,,,,
490,702,N/A,,,,,,,,,,
491,722,N/A,,,,,,,,,,
492,729,Sensor Division,,,,,,,,,,
493,732,N/A,,,,,,,,,,
494,733,Medic Corps,,,,,,,,,,
495,734,N/A,,,,,,,,,,
496,736,N/A,,,,,,,,,,
497,738,Team 5,,,,,,,,,,
498,749,N/A,,,,,,,,,,
499,771,N/A,,,,,,,,,,
500,776,N/A,,,,,,,,,,
501,777,N/A,,,,,,,,,,
502,779,Demon Brothers,,,,,,,,,,
503,806,N/A,,,,,,,,,,
504,810,Medic Corps,,,,,,,,,,
505,832,N/A,,,,,,,,,,
506,840,N/A,,,,,,,,,,
507,841,Konoha Torture and Interrogation Force,,,,,,,,,,
508,842,N/A,,,,,,,,,,
509,863,Hokage Guard Platoon,Konoha Special Mission Platoon,Twenty Platoons,Daimyō Protection Squad,,,,,,,
510,864,Team Kakashi,,,,,,,,,,
511,868,N/A,,,,,,,,,,
512,871,N/A,,,,,,,,,,
513,874,N/A,,,,,,,,,,
514,875,N/A,,,,,,,,,,
515,877,Ino–Shika–Chō,,,,,,,,,,
516,879,N/A,,,,,,,,,,
517,880,Allied Mothers Force  (Anime only),,,,,,,,,,
518,884,N/A,,,,,,,,,,
519,885,Twelve Guardian Ninja,,,,,,,,,,
520,891,N/A,,,,,,,,,,
521,895,Hiruko's Team,,,,,,,,,,
522,897,N/A,,,,,,,,,,
523,898,N/A,,,,,,,,,,
524,901,N/A,,,,,,,,,,
525,905,Sealing Team,,,,,,,,,,
526,911,Team Oboro,,,,,,,,,,
527,917,Byakuya Gang,,,,,,,,,,
528,933,N/A,,,,,,,,,,
529,941,N/A,,,,,,,,,,
530,942,N/A,,,,,,,,,,
531,943,N/A,,,,,,,,,,
532,947,N/A,,,,,,,,,,
533,950,N/A,,,,,,,,,,
534,955,N/A,,,,,,,,,,
535,970,Janin,,,,,,,,,,
536,973,Twenty Platoons,,,,,,,,,,
537,980,N/A,,,,,,,,,,
538,983,N/A,,,,,,,,,,
539,985,Third Division,,,,,,,,,,
540,988,N/A,,,,,,,,,,
541,990,Three Ryūdōin Brothers,,,,,,,,,,
542,991,Three Ryūdōin Brothers,,,,,,,,,,
543,992,Four Celestial Symbols Men,,,,,,,,,,
544,998,N/A,,,,,,,,,,
545,1000,N/A,,,,,,,,,,
546,1005,Fourth Division,,,,,,,,,,
547,1012,Team Sajin,,,,,,,,,,
548,1017,N/A,,,,,,,,,,
549,1020,Hiruko's Team,,,,,,,,,,
550,1027,Scientific Ninja Weapons Team,,,,,,,,,,
551,1028,N/A,,,,,,,,,,
552,1029,N/A,,,,,,,,,,
553,1049,N/A,,,,,,,,,,
554,1053,Twelve Guardian Ninja,,,,,,,,,,
555,1058,Genbu Shinobi Trio,,,,,,,,,,
556,1059,Team Shira,,,,,,,,,,
557,1068,Three Senka Brothers,,,,,,,,,,
558,1069,Three Senka Brothers,,,,,,,,,,
559,1070,Three Senka Brothers,,,,,,,,,,
560,1073,N/A,,,,,,,,,,
561,1077,N/A,,,,,,,,,,
562,1083,N/A,,,,,,,,,,
563,1085,Team Shigure,,,,,,,,,,
564,1087,N/A,,,,,,,,,,
565,1094,Surprise Attack and Diversion Platoon,,,,,,,,,,
566,1098,Leaf's Anbu,,,,,,,,,,
567,1101,N/A,,,,,,,,,,
568,1106,Team Shira,,,,,,,,,,
569,1108,N/A,,,,,,,,,,
570,1110,Team Chōza,Hokage Guard Platoon,Konoha Special Mission Platoon,Daimyō Protection Squad,,,,,,,
571,1116,N/A,,,,,,,,,,
572,1119,N/A,,,,,,,,,,
573,1129,Shinobazu,,,,,,,,,,
574,1142,Jako's Gang,,,,,,,,,,
575,1149,N/A,,,,,,,,,,
576,1154,N/A,,,,,,,,,,
577,1155,N/A,,,,,,,,,,
578,1173,N/A,,,,,,,,,,
579,1174,N/A,,,,,,,,,,
580,1192,N/A,,,,,,,,,,
581,1195,Konoha Barrier Team  (Anime only),,,,,,,,,,
582,1196,Konoha Special Mission Platoon,Third Division,Hokage Guard Platoon  (Anime only),Daimyō Protection Squad  (Anime only),,,,,,,
583,1200,N/A,,,,,,,,,,
584,1205,Team Goji,,,,,,,,,,
585,1211,N/A,,,,,,,,,,
586,1229,White Zetsu Army,,,,,,,,,,
